venue_name,venue_id,hrs,trips,lob,attendance,temp,time,date,
Turner Field,16,0,0,8,18239,74,169,May 21, 2015,
Tropicana Field,12,1,1,13,10605,72,178,May 21, 2015,
Coors Field,19,2,1,18,25418,53,195,May 21, 2015,
Oriole Park at Camden Yards,2,1,0,20,33085,51,210,May 21, 2015,
Citi Field,3289,2,0,8,32783,63,146,May 21, 2015,
Fenway Park,3,1,0,10,34945,64,169,May 21, 2015,
Fenway Park,3,4,0,16,36150,69,215,May 22, 2015,
Marlins Park,4169,1,0,22,19977,74,202,May 22, 2015,
Chase Field,15,3,1,22,34498,78,267,May 22, 2015,
Progressive Field,5,1,1,16,23617,57,176,May 22, 2015,
Comerica Park,2394,1,0,10,37276,65,167,May 22, 2015,
Turner Field,16,1,0,14,25774,77,172,May 22, 2015,
U.S. Cellular Field,4,0,0,10,21067,56,141,May 22, 2015,
PNC Park,31,0,0,7,33337,64,144,May 22, 2015,
Tropicana Field,12,4,1,20,12329,72,185,May 22, 2015,
Nationals Park,3309,1,0,10,35893,73,155,May 22, 2015,
Dodger Stadium,22,1,0,10,48514,64,159,May 22, 2015,
Rogers Centre,14,3,1,9,21195,68,150,May 22, 2015,
Coors Field,19,3,0,15,31226,54,213,May 22, 2015,
Kauffman Stadium,7,2,0,19,37379,64,173,May 22, 2015,
Yankee Stadium,3313,6,0,12,40008,70,199,May 22, 2015,
Fenway Park,3,2,0,13,37735,63,189,May 23, 2015,
Marlins Park,4169,0,0,20,21356,75,231,May 23, 2015,
Chase Field,15,2,0,8,30502,84,194,May 23, 2015,
Progressive Field,5,0,0,11,27315,64,153,May 23, 2015,
Comerica Park,2394,0,0,10,40153,71,164,May 23, 2015,
Turner Field,16,0,0,20,33223,81,228,May 23, 2015,
U.S. Cellular Field,4,2,1,9,38714,75,132,May 23, 2015,
PNC Park,31,3,0,9,39385,73,161,May 23, 2015,
Tropicana Field,12,0,0,19,15207,72,175,May 23, 2015,
Nationals Park,3309,2,0,10,41722,69,153,May 23, 2015,
Dodger Stadium,22,1,0,4,53479,64,131,May 23, 2015,
Rogers Centre,14,2,0,10,33086,54,145,May 23, 2015,
Coors Field,19,3,1,11,32956,49,184,May 23, 2015,
Coors Field,19,1,0,14,30180,45,165,May 23, 2015,
Kauffman Stadium,7,1,0,10,38676,68,100,May 23, 2015,
Yankee Stadium,3313,4,1,14,42067,60,183,May 23, 2015,
Fenway Park,3,1,0,9,37742,80,157,May 24, 2015,
Marlins Park,4169,1,0,16,23834,74,180,May 24, 2015,
Chase Field,15,3,1,5,39660,77,151,May 24, 2015,
Progressive Field,5,1,0,19,23882,79,187,May 24, 2015,
Comerica Park,2394,3,1,14,36449,75,202,May 24, 2015,
Turner Field,16,0,0,12,30612,79,167,May 24, 2015,
U.S. Cellular Field,4,3,0,7,30180,72,157,May 24, 2015,
PNC Park,31,2,0,17,37784,77,166,May 24, 2015,
Tropicana Field,12,3,0,15,15692,72,173,May 24, 2015,
Nationals Park,3309,0,1,14,41044,76,165,May 24, 2015,
Dodger Stadium,22,3,0,13,50182,69,167,May 24, 2015,
Rogers Centre,14,3,0,13,37929,68,170,May 24, 2015,
Coors Field,19,1,1,11,34404,55,169,May 24, 2015,
Kauffman Stadium,7,1,0,12,36342,69,160,May 24, 2015,
Yankee Stadium,3313,1,1,14,45681,69,205,May 24, 2015,
Busch Stadium,2889,2,0,22,42853,85,204,May 25, 2015,
Dodger Stadium,22,3,0,16,44680,68,169,May 25, 2015,
Target Field,3312,1,0,14,29472,63,172,May 25, 2015,
Rogers Centre,14,2,0,6,15168,66,130,May 25, 2015,
Great American Ball Park,2602,3,0,18,20516,72,179,May 25, 2015,
O.co Coliseum,10,0,1,13,25380,59,160,May 25, 2015,
Oriole Park at Camden Yards,2,3,0,7,28909,80,140,May 25, 2015,
Yankee Stadium,3313,5,0,16,36031,82,192,May 25, 2015,
PNC Park,31,3,0,10,20046,81,140,May 25, 2015,
Citi Field,3289,3,0,11,30946,81,187,May 25, 2015,
Angel Stadium of Anaheim,1,0,0,15,38055,70,191,May 25, 2015,
Tropicana Field,12,2,0,18,10401,72,171,May 25, 2015,
Miller Park,32,4,0,13,41969,71,195,May 25, 2015,
Progressive Field,5,5,0,10,13614,81,212,May 25, 2015,
Wrigley Field,17,3,0,10,38463,72,159,May 25, 2015,
Busch Stadium,2889,2,0,14,41107,78,171,May 26, 2015,
Dodger Stadium,22,1,0,8,40667,65,158,May 26, 2015,
Target Field,3312,0,0,12,23268,58,156,May 26, 2015,
Rogers Centre,14,3,0,13,17276,70,192,May 26, 2015,
Great American Ball Park,2602,1,0,12,22523,72,159,May 26, 2015,
O.co Coliseum,10,0,0,15,22758,56,178,May 26, 2015,
Oriole Park at Camden Yards,2,0,0,13,21541,81,170,May 26, 2015,
Yankee Stadium,3313,2,0,10,33414,77,151,May 26, 2015,
PNC Park,31,1,0,15,20806,80,158,May 26, 2015,
Citi Field,3289,0,1,14,21064,77,197,May 26, 2015,
Angel Stadium of Anaheim,1,0,0,16,32334,67,204,May 26, 2015,
