team,first_name,last_name,player,date,gamekey,status,pitcherp,W,SV,ER,QS,DP,HR,SB,H,ASS,BB
Pierzinskis Misspelled D-Bags,Evan,Longoria,446334,2014-07-29,2014_07_29_milmlb_tbamlb_1,F,0,0,0,0,0,0,0,0,0,2,2
Pierzinskis Misspelled D-Bags,Evan,Longoria,446334,2014-07-30,2014_07_30_milmlb_tbamlb_1,F,0,0,0,0,0,0,0,0,1,1,0
Pierzinskis Misspelled D-Bags,Evan,Longoria,446334,2014-08-01,2014_08_01_anamlb_tbamlb_1,F,0,0,0,0,0,0,0,0,2,2,0
Pierzinskis Misspelled D-Bags,Evan,Longoria,446334,2014-08-02,2014_08_02_anamlb_tbamlb_1,F,0,0,0,0,0,0,1,0,1,0,1
Pierzinskis Misspelled D-Bags,Evan,Longoria,446334,2014-08-03,2014_08_03_anamlb_tbamlb_1,P,0,0,0,0,0,0,0,0,0,0,0
Pierzinskis Misspelled D-Bags,Elvis,Andrus,462101,2014-07-01,2014_07_01_texmlb_balmlb_1,F,0,0,0,0,0,0,0,0,0,3,0
Pierzinskis Misspelled D-Bags,Elvis,Andrus,462101,2014-07-02,2014_07_02_texmlb_balmlb_1,F,0,0,0,0,0,0,0,0,0,0,1
Pierzinskis Misspelled D-Bags,Elvis,Andrus,462101,2014-07-03,2014_07_03_texmlb_balmlb_1,F,0,0,0,0,0,0,0,0,3,2,0
Pierzinskis Misspelled D-Bags,Elvis,Andrus,462101,2014-07-04,2014_07_04_texmlb_nynmlb_1,F,0,0,0,0,0,0,0,1,3,0,0
Pierzinskis Misspelled D-Bags,Elvis,Andrus,462101,2014-07-05,2014_07_05_texmlb_nynmlb_1,F,0,0,0,0,0,0,0,0,1,3,0
Pierzinskis Misspelled D-Bags,Elvis,Andrus,462101,2014-07-06,2014_07_06_texmlb_nynmlb_1,F,0,0,0,0,0,0,0,0,0,0,1
Pierzinskis Misspelled D-Bags,Elvis,Andrus,462101,2014-07-07,2014_07_07_houmlb_texmlb_1,F,0,0,0,0,0,0,0,0,2,3,0
Pierzinskis Misspelled D-Bags,Elvis,Andrus,462101,2014-07-08,2014_07_08_houmlb_texmlb_1,F,0,0,0,0,0,0,0,0,1,3,0
Pierzinskis Misspelled D-Bags,Elvis,Andrus,462101,2014-07-09,2014_07_09_houmlb_texmlb_1,F,0,0,0,0,0,0,0,0,1,5,0
Pierzinskis Misspelled D-Bags,Elvis,Andrus,462101,2014-07-10,2014_07_10_anamlb_texmlb_1,F,0,0,0,0,0,0,0,0,0,2,0
Pierzinskis Misspelled D-Bags,Elvis,Andrus,462101,2014-07-11,2014_07_11_anamlb_texmlb_1,F,0,0,0,0,0,0,0,0,1,1,0
Pierzinskis Misspelled D-Bags,Elvis,Andrus,462101,2014-07-12,2014_07_12_anamlb_texmlb_1,F,0,0,0,0,0,0,0,1,0,2,0
Pierzinskis Misspelled D-Bags,Elvis,Andrus,462101,2014-07-13,2014_07_13_anamlb_texmlb_1,F,0,0,0,0,0,0,0,0,1,2,1
Pierzinskis Misspelled D-Bags,Elvis,Andrus,462101,2014-07-18,2014_07_18_texmlb_tormlb_1,F,0,0,0,0,0,0,0,0,1,0,0
Pierzinskis Misspelled D-Bags,Elvis,Andrus,462101,2014-07-19,2014_07_19_texmlb_tormlb_1,F,0,0,0,0,0,0,0,0,1,2,0
Pierzinskis Misspelled D-Bags,Elvis,Andrus,462101,2014-07-20,2014_07_20_texmlb_tormlb_1,F,0,0,0,0,0,0,0,0,2,1,0
Pierzinskis Misspelled D-Bags,Elvis,Andrus,462101,2014-07-21,2014_07_21_texmlb_nyamlb_1,F,0,0,0,0,0,0,0,0,1,4,0
Pierzinskis Misspelled D-Bags,Elvis,Andrus,462101,2014-07-22,2014_07_22_texmlb_nyamlb_1,F,0,0,0,0,0,0,0,0,0,8,0
Pierzinskis Misspelled D-Bags,Elvis,Andrus,462101,2014-07-23,2014_07_23_texmlb_nyamlb_1,FR,0,0,0,0,0,0,0,0,0,0,0
Pierzinskis Misspelled D-Bags,Elvis,Andrus,462101,2014-07-24,2014_07_24_texmlb_nyamlb_1,F,0,0,0,0,0,0,0,0,1,2,0
Pierzinskis Misspelled D-Bags,Elvis,Andrus,462101,2014-07-25,2014_07_25_oakmlb_texmlb_1,F,0,0,0,0,0,0,0,0,2,2,0
